留言主题,clean_review,cut_review,地区,关键词,留言详情中的实体,留言主题中的实体
请A3区严抓楚仪路乱停问题,请A3区严抓楚仪路乱停问题,请 A3区 严抓 楚仪 路 乱 停,A3区,"['严抓', 'A3区', '楚仪']","['北路', 'A7县', '太远']",[]
A3区杜鹃路由西向东方向左转绿灯时间太短了,A3区杜鹃路由西向东方向左转绿灯时间太短了,A3区 杜鹃 路 由西向东 向左转 绿灯 时间 太短,A3区,"['A3区', '向左转', '绿灯', '太短', '由西向东']",['余成'],['A3区']
A3区天顶街道燕联小区3栋一KTV噪音扰民,A3区天顶街道燕联小区3栋一KTV噪音扰民,A3区 天顶 街道 燕联 小区 栋 KTV 噪音 扰民,A3区,"['A3区', '燕联', 'KTV', '天顶', '扰民']",[],['A3区天顶街道燕联小区']
A3区潇楚南路长明灯浪费能源,A3区潇楚南路长明灯浪费能源,A3区 潇楚 南路 长明灯 浪费 能源,A3区,"['A3区', '潇楚', '长明灯', '南路', '浪费']","['河西', '河东公司']",['A3区潇楚南路']
A3区金星路王府井和加油站路段下水道异味强烈,A3区金星路王府井和加油站路段下水道异味强烈,A3区 金星 路 王府井 加油站 路段 下水道 异味,A3区,"['A3区', '下水道', '异味', '王府井', '加油站']",['A3区A3区'],"['A3区', '王府井']"
A3区中海国际社区有人违章搭建假山致房屋结构破损,A3区中海国际社区有人违章搭建假山致房屋结构破损,A3区 中海 国际 社区 有人 违章 搭建 假山 房屋结构 破损,A3区,"['房屋结构', 'A3区', '违章', '破损', '假山']","['A7县黄星大道', '海伦', '凉塘路', '天桥', '长永', '往南', 'A7县', 'A7县城管大队', 'A7县']",['A3区中海国际社区']
A3区中建梅溪湖中心安全通道设置车位出售,A3区中建梅溪湖中心安全通道设置车位出售,A3区 中建 梅 溪湖 中心 通道 设置 车位 出售,A3区,"['溪湖', 'A3区', '车位', '中建', '通道']","['A市A4区青竹湖镇广胜村', '广胜村', '广胜村', '广胜村', '广胜村', '广胜村', '广胜村', '广胜村']",['A3区中建梅溪湖中心']
A3区天马小区西侧从晚上十一点开始不停施工扰民,A3区天马小区西侧从晚上十一点开始不停施工扰民,A3区 天马 小区 西侧 晚上 十一点 不停 施工 扰民,A3区,"['A3区', '十一点', '扰民', '天马', '西侧']","['青园小学', '由南往北', 'A市', '三是青园小学', '万芙路', 'A市', 'A1区', 'A市', '青园小学', '万芙路', '新路', '小许', 'A市', 'A市', '青园小学', '往南', '青园小学', '万芙路']",['A3区天马小区']
控诉A3区政府违法征拆，暴力对待被征收人,控诉A3区政府违法征拆暴力对待被征收人,控诉 A3区 政府 违法 征 拆 暴力 征收,A3区,"['A3区', '控诉', '暴力', '违法', '征收']","['河西', '河东', '河西']",['A3区政府']
A3区杏林小区旁一工地半夜施工扰民,A3区杏林小区旁一工地半夜施工扰民,A3区 杏林 小区 旁一 工地 半夜 施工 扰民,A3区,"['A3区', '旁一', '杏林', '扰民', '工地']",[],['A3区杏林']
A3区可可小城小区晚上停水持续几个月了,A3区可可小城小区晚上停水持续几个月了,A3区 可可 小城 小区 晚上 停水 持续 几个,A3区,"['A3区', '停水', '小城', '可可', '小区']","['A7县星沙街道杉仙岭社区', '六区', 'A7县星沙街道杉仙岭社区', '六区']",['A3区可可小城小区']
A3区麓天小区三期DD25栋旁挖自然绿化山体违建,A3区麓天小区三期DD25栋旁挖自然绿化山体违建,A3区 麓 天 小区 三期 DD25 栋 旁 挖 自然 绿化 山体 违建,A3区,"['A3区', 'DD25', '违建', '三期', '绿化']","['西二环', '白云路']",['A3区']
A3区莱茵城乐享健身突然关门，员工工资未发,A3区莱茵城乐享健身突然关门员工工资未发,A3区 莱茵 城乐享 健身 关门 员工工资 未发,A3区,"['A3区', '城乐享', '员工工资', '未发', '健身']","['A3区西湖', 'A3区', '西湖']",['A3区莱茵']
咨询A3区民宿特许经营的问题,咨询A3区民宿特许经营的问题,咨询 A3区 民宿 特许 经营,A3区,"['A3区', '民宿', '特许', '咨询', '经营']","['帕克', '帕克', '赤岭', '兴威']",['A3区']
A3区雷锋镇真人桥村征地拆迁事项的咨询,A3区雷锋镇真人桥村征地拆迁事项的咨询,A3区 雷锋 镇 真人 桥村 征地 拆迁 事项 咨询,A3区,"['A3区', '桥村', '雷锋', '征地', '真人']","['黄林大黄兴', '北路', '北路', '两年政府']","['A3区', '雷锋']"
A3区白云路何时能动工修建剩余的那段断头路,A3区白云路何时能动工修建剩余的那段断头路,A3区 白云路 何时能 动工 修建 剩余 那段 断头 路,A3区,"['A3区', '白云路', '何时能', '断头', '那段']","['黄林大黄兴', '北路']",['A3区白云路']
A3区教师村小区盼望早日安装电梯,A3区教师村小区盼望早日安装电梯,A3区 教师 村 小区 盼望 早日 安装 电梯,A3区,"['A3区', '电梯', '盼望', '早日', '小区']","['金阳', '东路', '黄花机场', 'A市']",['A3区']
A3区梅溪湖看云路一师润芳园小区临街门面烧烤夜宵摊,A3区梅溪湖看云路一师润芳园小区临街门面烧烤夜宵摊,A3区 梅 溪湖 看云路 一师 润芳园 小区 临街 门面 烧烤 夜宵 摊,A3区,"['溪湖', 'A3区', '看云路', '润芳园', '夜宵']",['A市'],"['A3区梅溪湖', '润芳园']"
再次反映A3区梅溪湖梅岭公园内非法殡仪馆问题,再次反映A3区梅溪湖梅岭公园内非法殡仪馆问题,A3区 梅 溪湖 梅岭 公园 非法 殡仪馆,A3区,"['溪湖', 'A3区', '梅岭', '殡仪馆', '非法']",['长郡月亮岛学校'],['A3区梅溪湖梅岭公园']
A3区郝家坪小学什么时候能改扩建?,A3区郝家坪小学什么时候能改扩建,A3区 郝家 坪 小学 改扩建,A3区,"['A3区', '郝家', '改扩建', '小学']",['A市'],['A3区郝家坪小学']
请A3区分局依法查明核实潘某涉嫌寻衅滋事案，还民公正,请A3区分局依法查明核实潘某涉嫌寻衅滋事案还民公正,请 A3区 分局 依法 查明 核实 潘某 涉嫌 寻衅滋事 案 还民 公正,A3区,"['A3区', '潘某', '还民', '寻衅滋事', '分局']",['A市'],"['A3区', '潘某']"
举报A3区长房云时代小区幼儿园无招标公告，无教学历史,举报A3区长房云时代小区幼儿园无招标公告无教学历史,举报 A3区 长房 云 时代 小区 幼儿园 招标 公告 教学 历史,A3区,"['长房', 'A3区', '幼儿园', '招标', '小区']",['A市'],[]
A3区青青家园公共消防生命通道架设油烟管道，持续半年扰民,A3区青青家园公共消防生命通道架设油烟管道持续半年扰民,A3区 青青 家园 公共 消防 生命 通道 架设 油烟 管道 持续 半年 扰民,A3区,"['A3区', '油烟', '扰民', '青青', '消防']","['p2p公司', 'A市']",[]
A3区青山新村社区一消防通道破墙架设油烟管道持续半年扰民,A3区青山新村社区一消防通道破墙架设油烟管道持续半年扰民,A3区 青山 新村 社区 消防通道 破墙 架设 油烟 管道 持续 半年 扰民,A3区,"['A3区', '破墙', '消防通道', '油烟', '扰民']",['A3区'],['A3区青山新村社区']
A3区楷林国际光污染严重,A3区楷林国际光污染严重,A3区 楷林 国际 光污染,A3区,"['A3区', '楷林', '光污染', '国际']","['A7县星沙街道杉仙岭社区', '六区', 'A7县星沙街道杉仙岭社区', '六区', '六区']",['A3区楷林国际']
A3区咸嘉湖路120号蓝光·雍锦阁小区移动信号未覆盖,A3区咸嘉湖路120号蓝光雍锦阁小区移动信号未覆盖,A3区 咸嘉 湖路 120 号 蓝光 雍锦阁 小区 信号 未 覆盖,A3区,"['A3区', '咸嘉', '湖路', '120', '雍锦阁']","['A市', '西地省', '西地省', 'A市', '西地省', 'A市', '西地省', 'A市', '台西', '西地省']","['A3区咸嘉湖路', '蓝光', '雍锦阁']"
A3区楚仪路段禁停路段车辆乱停乱放，街面卫生急需整治,A3区楚仪路段禁停路段车辆乱停乱放街面卫生急需整治,A3区 楚仪 路段 禁停 路段 车辆 乱 停 乱放 街面 卫生 急需 整治,A3区,"['路段', 'A3区', '楚仪', '禁停', '街面']",[],['A3区']
A3区仁和会计教育机构收学费不签合同不开发票，是否合法？,A3区仁和会计教育机构收学费不签合同不开发票是否合法,A3区 仁和 会计 教育 机构 收 学费 签合同 开发票 合法,A3区,"['A3区', '开发票', '仁和', '签合同', '学费']",[],['A3区']
A3区西地省工商大学附近公交车站存在巨大安全隐患,A3区西地省工商大学附近公交车站存在巨大安全隐患,A3区 西地省 工商大学 公交车站 安全隐患,A3区,"['工商大学', 'A3区', '西地省', '公交车站', '安全隐患']",['A市'],['A3区西地省']
A3区枫林三路向日葵旁边工地一直存在凌晨施工扰民的情况,A3区枫林三路向日葵旁边工地一直存在凌晨施工扰民的情况,A3区 枫林 三路 向日葵 旁边 工地 凌晨 施工 扰民 情况,A3区,"['A3区', '枫林', '扰民', '向日葵', '三路']",['A市'],"['A3区', '三路']"
A3区一小学门口违规建设的白咀鹤停车场违规，投诉后只有回复而并未落实,A3区一小学门口违规建设的白咀鹤停车场违规投诉后只有回复而并未落实,A3区 小学 门口 违规 建设 咀 鹤 停车场 违规 投诉 回复 并未 落实,A3区,"['违规', 'A3区', '停车场', '投诉', '回复']","['A市A5区西地省', '西地省', '西地省', '西地省', 'A市A5区']",['A3区一小学']
A3区馨香雅苑8栋有几个业主长期霸凌小区,A3区馨香雅苑8栋有几个业主长期霸凌小区,A3区 馨香 雅苑 栋 几个 业主 长期 霸凌 小区,A3区,"['A3区', '雅苑', '霸凌', '馨香', '业主']","['A市', '东路', 'A市', 'A市']","['A3区', '雅苑']"
A3区白鹤小区麦潮量贩娱乐城把住户都要吵晕了,A3区白鹤小区麦潮量贩娱乐城把住户都要吵晕了,A3区 白鹤 小区 麦潮量 贩 娱乐城 住户 吵 晕,A3区,"['A3区', '麦潮量', '娱乐城', '白鹤', '住户']","['地省A2区瑞富苑', '吴萌', '省瑞富房地产开发有限公司', 'A市A2区正塘', '瑞富苑', 'A市A2区正塘', '瑞富苑', '青园小学', '青园小学', '青园小学', 'A2区', '青园小学', 'A5区', '青园小学', '南校区', '青园小学', '青园', 'A2区瑞富星座', 'A2区', '青园小学', '瑞富苑']",['A3区']
A3区王家湾麓山南路与西二环叉路口周边区域停水已经八天了！,A3区王家湾麓山南路与西二环叉路口周边区域停水已经八天了,A3区 王家 湾 麓 山南路 西二环 叉路口 周边 区域 停水 八天,A3区,"['西二环', '叉路口', 'A3区', '山南路', '停水']","['衡华', 'A1区二里', 'A市液化石油气发展有限公司', '二里', 'A市液化石油气公司']","['A3区', '西二环']"
A3区梅溪湖看云路映日路口公交车站重大安全隐患,A3区梅溪湖看云路映日路口公交车站重大安全隐患,A3区 梅 溪湖 看云路映 路口 公交车站 安全隐患,A3区,"['溪湖', 'A3区', '看云路映', '公交车站', '安全隐患']","['胡华衡', 'A3区金麓小区', '滨江', '但市产权登记中心', 'A市政府', 'A市政务中心']",['A3区梅溪湖']
投诉A3区龙湖春江郦城凌晨施工严重扰民,投诉A3区龙湖春江郦城凌晨施工严重扰民,投诉 A3区 龙湖 春江 郦城 凌晨 施工 扰民,A3区,"['A3区', '郦城', '春江', '扰民', '龙湖']","['胡雄忠', 'A3区金麓小区', '滨江', '但市产权登记中心', 'A市政府', 'A市政务中心']",['A3区龙湖春江郦城']
投诉A3区第三幼儿园违规招生,投诉A3区第三幼儿园违规招生,投诉 A3区 第三 幼儿园 违规 招生,A3区,"['A3区', '招生', '幼儿园', '投诉', '违规']","['东路', '六路', '东路', 'A市']",['A3区']
A3区王家湾麓山南路近万居民停水近十天了,A3区王家湾麓山南路近万居民停水近十天了,A3区 王家 湾 麓 山南路 近万 居民 停水 十天,A3区,"['A3区', '山南路', '近万', '停水', '王家']","['A市', 'A市', 'A市', 'A市']","['A3区', '山南路']"
咨询A3区旭辉藏郡小区业主小孩的读书问题,咨询A3区旭辉藏郡小区业主小孩的读书问题,咨询 A3区 旭辉 藏 郡 小区业主 小孩 读书,A3区,"['A3区', '旭辉', '小区业主', '小孩', '读书']","['余易贷', 'A2区坡子街派出所', '徐萍', '果园镇', '果园镇政府', '何俊']",['A3区']
指出A3区溁湾镇通程商业广场处红绿灯问题,指出A3区溁湾镇通程商业广场处红绿灯问题,指出 A3区 溁 湾 镇 通 程 商业广场 处 红绿灯,A3区,"['A3区', '商业广场', '红绿灯', '指出']",['A市'],['A3区溁']
A3区省委党校后面的白云路什么时候能拉通？,A3区省委党校后面的白云路什么时候能拉通,A3区 省委党校 白云路 能拉通,A3区,"['A3区', '白云路', '能拉通', '省委党校']","['A7县', '塘村']","['A3区', '白云路']"
A3区滨江实验中学要求家长出资为学校安装空调,A3区滨江实验中学要求家长出资为学校安装空调,A3区 滨江 实验 中学 家长 出资 学校 安装 空调,A3区,"['A3区', '滨江', '家长', '出资', '空调']","['A7县', '塘村']",['A3区滨江实验中学']
A3区莲花镇龙台村很多人焚烧稻草,A3区莲花镇龙台村很多人焚烧稻草,A3区 莲花 镇龙 台村 焚烧 稻草,A3区,"['A3区', '镇龙', '台村', '稻草', '焚烧']","['A7县春华镇', '东路', '春华', '新街', '必经之路']","['A3区', '台村']"
A3区郝家坪小学何时扩建？,A3区郝家坪小学何时扩建,A3区 郝家 坪 小学 扩建,A3区,"['A3区', '郝家', '扩建', '小学']","['A市A4区青竹湖镇广胜村', '广胜村', '广胜村', '广胜村', '广胜村', '广胜村', '广胜村', '广胜村']",['A3区郝家坪小学']
A3区楚振公司将洗砂废水底泥排入矿井填充就是治理？,A3区楚振公司将洗砂废水底泥排入矿井填充就是治理,A3区 楚振 公司 洗砂 废水 底泥 排入 矿井 填充 治理,A3区,"['底泥', 'A3区', '楚振', '洗砂', '排入']",['A4区洪山公园'],['A3区楚振公司']
A3区望月湖相同的一条街，截然不同的两边,A3区望月湖相同的一条街截然不同的两边,A3区 望月湖 一条街 截然不同 两边,A3区,"['A3区', '望月湖', '一条街', '截然不同', '两边']",['A市外国语学校'],['A3区望月湖']
A3区枫林三路银华山庄段成群结队的渣土车轰鸣而过，太吵了,A3区枫林三路银华山庄段成群结队的渣土车轰鸣而过太吵了,A3区 枫林 三路 银 华山 庄段 成群结队 渣土 车 轰鸣 太 吵,A3区,"['渣土', 'A3区', '庄段', '枫林', '成群结队']","['A市', 'A市']","['A3区', '三路', '华山']"
A3区梅溪湖梅岭公园的违章建筑演变成非法殡仪馆,A3区梅溪湖梅岭公园的违章建筑演变成非法殡仪馆,A3区 梅 溪湖 梅岭 公园 违章建筑 演变成 非法 殡仪馆,A3区,"['溪湖', 'A3区', '违章建筑', '梅岭', '殡仪馆']","['A市', 'A市一大堵点', 'A市', '桂园', 'A市', 'A1区', 'A1区', 'A1区', 'A1区', '桂园', '蔡锷', '东风路', '中山路', '年嘉湖', '蔡锷', '路南往北', '东风路东往西过江', '中山路', '蔡锷', '楚江', '中山路', '黄兴路', 'A1区', '往东', '江左', '中山路', '蔡锷', 'A1区广场', '路南往北', '中山路中山路', '过江', '西往东', '蔡锷', '中山路', '西过江', '蔡锷', '东风路', '西往东', '蔡锷', 'A1区', '北往', 'A1区', '蔡锷', '五一路', 'A1区广场', '蔡锷', '中山路', 'A1区', '中山路', '蔡锷', '中山路', '蔡锷']",['A3区梅溪湖梅岭公园']
A3区新民小区住改商无证经营，影响居民生活污染大,A3区新民小区住改商无证经营影响居民生活污染大,A3区 新民 小区 住 改商 无证 经营 影响 居民 生活 污染,A3区,"['A3区', '改商', '无证', '新民', '小区']",['A市A5区'],['A3区新民小区']
A3区卓越浅水湾南门对面金毛房地产长期半夜施工！,A3区卓越浅水湾南门对面金毛房地产长期半夜施工,A3区 卓越 浅水湾 南门 对面 金毛 房地产 长期 半夜 施工,A3区,"['浅水湾', 'A3区', '金毛', '南门', '卓越']","['A市', 'A5区', '沙湾', '丽路', 'A市']","['A3区', '浅水湾']"
我房子被拆多年，A3区西湖街道安置办一直没给我安置,我房子被拆多年A3区西湖街道安置办一直没给我安置,房子 拆 多年 A3区 西湖 街道 安置 办 安置,A3区,"['安置', 'A3区', '西湖', '街道', '房子']",['A市'],['A3区西湖']
A3区金麓西岸小区诸多问题盼整改,A3区金麓西岸小区诸多问题盼整改,A3区 金麓 西岸 小区 诸多 盼 整改,A3区,"['A3区', '金麓', '整改', '西岸', '小区']","['西地省展星投资有限公司', '苏纳', '邢明', '美国', 'A市A4区', '毛钧', 'A4区', '毛钧', '苏纳', '毛骏', '刘顺', '刘顺', '苏纳', '苏纳', '苏吕是', '陈杰雄', '陈杰雄', '毛骏', '美国', '美国', '中国', '美国', '苏纳', '苏吕刘顺陈杰雄孙开', '毛骏', '毛骏', '毛骏', '孙开', '孙开', '毛骏', '苏纳', '西地省', '西地省', '苏纳', '苏吕']",['A3区']
A3区欣胜园小区急需水改电改和车位改造,A3区欣胜园小区急需水改电改和车位改造,A3区 欣胜园 小区 急需 水改 电改 车位 改造,A3区,"['A3区', '欣胜园', '水改', '电改', '车位']","['A4区', '西路', '祥英']",['A3区欣胜园']
A3区万翔国际大酒店西侧装外墙电梯，有非常大的安全隐患,A3区万翔国际大酒店西侧装外墙电梯有非常大的安全隐患,A3区 万翔 国际 大酒店 西侧 装 外墙 电梯 安全隐患,A3区,"['A3区', '万翔', '外墙', '大酒店', '安全隐患']","['泉塘', '泉星小学']",['A3区万翔国际大酒店']
A3区金麓小区丧事扰民何时休,A3区金麓小区丧事扰民何时休,A3区 金麓 小区 丧事 扰民 何时休,A3区,"['何时休', 'A3区', '金麓', '扰民', '丧事']","['金晖', 'A市A3区A3区', 'A市', 'A市', 'A市', 'A市', 'A市', '附小西地省师大第二附属中学师大附中博才实验中学', '金晖', 'A市政府']","['A3区金麓小区丧事', '何时休']"
违法的防盗护窗该何处安放——A3区金麓西岸和苑业主违规搭建防盗护窗,违法的防盗护窗该何处安放A3区金麓西岸和苑业主违规搭建防盗护窗,违法 防盗 护窗 安放 A3区 金麓 西岸 苑 业主 违规 搭建 防盗 护窗,A3区,"['护窗', '防盗', 'A3区', '金麓', '安放']",[],['A3区']
A3区金荣誉峰翡翠花园楼下的夜宵店总是有人大声喧哗,A3区金荣誉峰翡翠花园楼下的夜宵店总是有人大声喧哗,A3区 金 荣誉 峰 翡翠 花园 楼下 夜宵 店 有人 大声 喧哗,A3区,"['A3区', '夜宵', '喧哗', '翡翠', '楼下']","['A市', 'A市', 'A市', 'A市', 'A市', 'A市']",[]
A3区裕民小区夜宵扰民，占用公共车位以及公共面积,A3区裕民小区夜宵扰民占用公共车位以及公共面积,A3区 裕民 小区 夜宵 扰民 占用 公共 车位 公共 面积,A3区,"['公共', 'A3区', '裕民', '夜宵', '车位']","['A市', 'A市']","['A3区', '裕民']"
A3区兰亭湾畔高层小区违搭雨棚超外墙一米多，职能部门踢皮球,A3区兰亭湾畔高层小区违搭雨棚超外墙一米多职能部门踢皮球,A3区 兰亭 湾畔 高层 小区 违搭 雨棚 超 外墙 一米 职能部门 踢皮球,A3区,"['雨棚', 'A3区', '违搭', '踢皮球', '湾畔']","['楚江', '楚江', '恒伟房地产开发公司', 'A市', '楚江', '楚江质监站', 'A市']",['A3区兰亭湾畔高层']
A3区凯特梅溪紫郡周边化工厂污染太大了！,A3区凯特梅溪紫郡周边化工厂污染太大了,A3区 凯特 梅溪 紫 郡 周边 化工厂 污染 太大,A3区,"['A3区', '梅溪', '凯特', '化工厂', '污染']",[],"['凯特', '梅溪']"
A3区浪琴湾小区附近车辆的违停现象十分严重,A3区浪琴湾小区附近车辆的违停现象十分严重,A3区 浪琴 湾 小区 车辆 违停 现象,A3区,"['浪琴', 'A3区', '违停', '小区', '车辆']","['A7县黄兴', '廖奥', 'A7县', 'A市', 'A7县', 'A7县', 'A市', 'A7县医院', '楚雅开药品清单发票医院', 'A7县', '楚雅']",['A3区']
反对在A3区联江路与连塘路交叉口建垃圾场,反对在A3区联江路与连塘路交叉口建垃圾场,反对 A3区 联江路 连塘路 交叉口 建 垃圾场,A3区,"['A3区', '联江路', '连塘路', '垃圾场', '交叉口']","['石潭镇', '涟水']","['A3区联江路', '连塘路']"
A3区白赛湖路围挡围住迟迟不修,A3区白赛湖路围挡围住迟迟不修,A3区 白赛 湖路 围挡 围住 迟迟 不修,A3区,"['A3区', '白赛', '湖路', '围挡', '不修']",[],['A3区']
A3区梅溪湖环湖路沿文化艺术中心路段乱停乱靠现象严重,A3区梅溪湖环湖路沿文化艺术中心路段乱停乱靠现象严重,A3区 梅 溪湖 环湖 路沿 文化 艺术 中心 路段 乱 停乱 现象,A3区,"['路沿', '溪湖', 'A3区', '停乱', '环湖']",[],['A3区梅溪湖环湖路沿文化艺术中心']
A3区沁园春御园公共区域被非法变更,A3区沁园春御园公共区域被非法变更,A3区 沁园春 御园 公共 区域 非法 变更,A3区,"['御园', 'A3区', '沁园春', '非法', '公共']","['A市', 'A市', 'A2区', '青园小学', '青园小学', '青园小学', '青园小学']",['A3区']
A3区建工象山国际楼盘经常开工到深夜凌晨四五点,A3区建工象山国际楼盘经常开工到深夜凌晨四五点,A3区 建工 象山 国际 楼盘 开工 深夜 凌晨 四五点,A3区,"['四五点', 'A3区', '象山', '建工', '楼盘']","['A市A2区', 'A2区正塘', '高低不平', 'A市A2区']","['A3区建工', '象山']"
A3区玉兰路地下通道被非法出租经营,A3区玉兰路地下通道被非法出租经营,A3区 玉兰 路 地下通道 非法 出租 经营,A3区,"['A3区', '地下通道', '玉兰', '出租', '非法']","['A市', 'A2区青园小学', 'A市', 'A市']",['A3区']
A3区东方红街道金南家园三期工地经常通宵施工,A3区东方红街道金南家园三期工地经常通宵施工,A3区 东方红 街道 金南 家园 三期 工地 通宵 施工,A3区,"['A3区', '金南', '东方红', '通宵', '三期']","['松雅湖二小', '四路']",['A3区东方红街道金南家园']
建议在A3区学士街道主次干道设置夜间停车位,建议在A3区学士街道主次干道设置夜间停车位,建议 A3区 学士 街道 主次 干道 设置 夜间 停车位,A3区,"['A3区', '主次', '干道', '停车位', '学士']","['A市一中A5区新华都学校', 'A市大道北', '由东', '由东往西', '由东']",['A3区']
对A3区银双路、楚岳路交汇路口交通环境的意见,对A3区银双路楚岳路交汇路口交通环境的意见,A3区 银 双路 楚岳路 交汇 路口 交通 环境 意见,A3区,"['双路', 'A3区', '楚岳路', '交汇', '路口']","['A7县果园镇', '锋鑫']","['A3区', '双路楚岳路']"
A3区洋湖湿地附近空域飞机轰鸣声打扰学生学习,A3区洋湖湿地附近空域飞机轰鸣声打扰学生学习,A3区 洋湖 湿地 空域 飞机 轰鸣声 打扰 学生 学习,A3区,"['A3区', '洋湖', '轰鸣声', '空域', '湿地']",[],['A3区洋湖']
请A3区协调解决旭辉御府业主子女入学问题,请A3区协调解决旭辉御府业主子女入学问题,请 A3区 协调 解决 旭辉 御府 业主 子女 入学,A3区,"['御府', 'A3区', '旭辉', '入学', '业主']","['A市', '开区', 'A市', '泉塘', '楚龙星沙', '泉塘', '泉塘', '泉塘', '南城河西', '泉塘', '河西', '泉塘', '泉塘', '泉塘', '泉塘']",['A3区']
A3区钰龙天下云梦仙语养生店内藏污纳垢,A3区钰龙天下云梦仙语养生店内藏污纳垢,A3区 钰龙 天下 云梦 仙语 养生 店内 藏污纳垢,A3区,"['A3区', '钰龙', '仙语', '店内', '藏污纳垢']",[],['A3区钰龙天下云梦仙语']
投诉A3区中海熙湾项目虚假宣传,投诉A3区中海熙湾项目虚假宣传,投诉 A3区 中海 熙湾 项目 虚假 宣传,A3区,"['A3区', '熙湾', '中海', '投诉', '虚假']",['通太街'],['A3区中海熙湾']
A3区欣胜园小区急需水改电改和车位改造,A3区欣胜园小区急需水改电改和车位改造,A3区 欣胜园 小区 急需 水改 电改 车位 改造,A3区,"['A3区', '欣胜园', '水改', '电改', '车位']",[],['A3区欣胜园']
关于拆除西地省商学院宿舍、A3区一小旁变压器的请求,关于拆除西地省商学院宿舍A3区一小旁变压器的请求,拆除 西地省 商学院 宿舍 A3区 一小 旁 变压器 请求,A3区,"['西地省', 'A3区', '商学院', '变压器', '拆除']",['A7县'],['西地省商学院宿舍A3区一小']
关于拆除西地省商学院宿舍、A3区一小旁变压器的请求,关于拆除西地省商学院宿舍A3区一小旁变压器的请求,拆除 西地省 商学院 宿舍 A3区 一小 旁 变压器 请求,A3区,"['西地省', 'A3区', '商学院', '变压器', '拆除']","['A1区', '天城浏城桥', '前坪', 'A市', 'A市']",['西地省商学院宿舍A3区一小']
A3区金麓小区门面占道经营，油烟扰民,A3区金麓小区门面占道经营油烟扰民,A3区 金麓 小区 门面 占 道 经营 油烟 扰民,A3区,"['A3区', '金麓', '油烟', '扰民', '门面']",['长城水郡小区开发商'],['A3区金麓小区']
A3区梅溪湖看云路润芳园小区油烟扰民,A3区梅溪湖看云路润芳园小区油烟扰民,A3区 梅 溪湖 看云路 润芳园 小区 油烟 扰民,A3区,"['溪湖', 'A3区', '看云路', '润芳园', '油烟']",[],"['A3区梅溪湖', '润芳园']"
A3区楚仪路咸嘉湖路段到重阳路段商铺占道经营卫生极差,A3区楚仪路咸嘉湖路段到重阳路段商铺占道经营卫生极差,A3区 楚 仪路 咸嘉湖 路段 重阳 路段 商铺 占 道 经营 卫生 极差,A3区,"['路段', 'A3区', '仪路', '咸嘉湖', '极差']","['A市A5区万科金域华府', 'A市', '杜花塘路', '沙湾']","['A3区楚仪路咸嘉湖', '重阳']"
反映A3区惟盛园安置小区不合理收费问题,反映A3区惟盛园安置小区不合理收费问题,A3区 惟盛园 安置 小区 不合理 收费,A3区,"['A3区', '惟盛园', '不合理', '安置', '小区']","['龙华', '黄兴']",['A3区惟盛园']
A3区建工象山国际楼盘经常开工到深夜凌晨,A3区建工象山国际楼盘经常开工到深夜凌晨,A3区 建工 象山 国际 楼盘 开工 深夜 凌晨,A3区,"['A3区', '象山', '建工', '楼盘', '深夜']",[],"['A3区建工', '象山']"
A3区莲花镇龙台村采石场违规复工,A3区莲花镇龙台村采石场违规复工,A3区 莲花 镇龙 台村 采石场 违规 复工,A3区,"['A3区', '镇龙', '台村', '采石场', '复工']",['A7县泉塘第三小学'],"['A3区', '台村']"
A3区谷园路39号维也纳智好酒店有卖淫团伙,A3区谷园路39号维也纳智好酒店有卖淫团伙,A3区 谷园 路 39 号 维也纳 智好 酒店 卖淫 团伙,A3区,"['A3区', '谷园', '39', '智好', '卖淫']","['于楚龙', '天沟']","['A3区', '维也纳']"
A3区应加强景秀路流动活禽销售管理,A3区应加强景秀路流动活禽销售管理,A3区 应 景秀路 流动 活禽 销售 管理,A3区,"['A3区', '景秀路', '活禽', '流动', '销售']","['宁夏广西福建', '西地省', 'A市', '西地省', 'A市']",[]
A3区尖山安置小区3栋一楼一跨越物流公司装卸货声音很大！,A3区尖山安置小区3栋一楼一跨越物流公司装卸货声音很大,A3区 尖山 安置 小区 栋 一楼 跨越 物流 公司 装卸 货 声音 很大,A3区,"['A3区', '尖山', '一楼', '装卸', '跨越']","['宁夏广西福建', '西地省', 'A市', '西地省', 'A市']",['A3区尖山']
A3区浪琴湾安置小区的车辆乱停乱放,A3区浪琴湾安置小区的车辆乱停乱放,A3区 浪琴 湾 安置 小区 车辆 乱 停 乱放,A3区,"['浪琴', 'A3区', '乱放', '安置', '小区']","['A3区江山帝景售楼中心', '哈佛']",['A3区浪琴湾']
为什么A3区奥克斯洋湖城市广场的停车场不准停车,为什么A3区奥克斯洋湖城市广场的停车场不准停车,A3区 奥克斯 洋湖 城市 广场 停车场 不准 停车,A3区,"['奥克斯', 'A3区', '洋湖', '停车场', '停车']",['A5区'],['A3区奥克斯洋湖']
A3区谷山庭院3期16栋3号电梯故障近一个月？,A3区谷山庭院3期16栋3号电梯故障近一个月,A3区 谷山 庭院 期 16 栋 号 电梯 故障 一个月,A3区,"['A3区', '谷山', '16', '电梯', '庭院']",['A市'],['A3区谷山']
